B04	B03	B28	B29	B05	B07	B06	B08	B13	B09	B10	B12	B23	B16	B02	B19	B20	B21	B22	B14	B24	B25	B26	B27
書目識別號(不得修改)	書名	並列題名	分類號類型	分類號	作者	作者號	版本	語言別	出版地	出版社	出版年	裝訂別	價格	ISBN	面寬數	高寬	圖表	附件	稽核項	集叢項	附註項	主題項	追尋項
B01	B04	B03	B53	B54	B55	B56	B57	B58	B52	B59	B60	B61	B62	B63
館藏登錄號(不得重複)	書目識別號	書名(不得修改)	館藏狀態	流通別	資料別	特藏號	冊次號	複本號	排架號	館藏地	來源別	捐贈者	附件	新增日期
00000194	000194	新舊男女--兩性平權新視野	報廢		一般圖書			V1		"本館藏書	"				91-04-23
00000195	000195	多元知識管理系統	館內架上	一般館藏	一般圖書		v.1			"本館藏書	"	購買			91-04-23
00000196	000196	回轉像小孩	館內架上		一般圖書			V1		"本館藏書	"				91-04-23
00000197	000197	大人物小特寫	館內架上		一般圖書			V1		"本館藏書	"				91-04-23
00000198	000198	心靈綠洲極短篇	報廢		一般圖書			V1		"本館藏書	"				91-04-23
00000199	000199	不是我的錯	館內架上		一般圖書			V1		"本館藏書	"				91-04-23
00000200	000200	梅峰小宇宙	館內架上		一般圖書			V1		"本館藏書	"				91-04-23
00000201	000201	藍鵲的故事	報廢		一般圖書			V1		"本館藏書	"				91-04-23
00000202	000202		館內架上		一般圖書					"本館藏書	"				91-04-23
00000203	000203		館內架上		一般圖書					"本館藏書	"				91-04-23
00000204	000204	遠東漢英大辭典(簡明本)	報廢		一般圖書			c1		"本館藏書	"				91-04-23
00000205	000205	遠東漢英大辭典(簡明本)	報廢		一般圖書			c2		"本館藏書	"				91-04-23
00000206	000206	筆記大自然	館內架上		一般圖書			C1		"本館藏書	"				91-04-24
00000207	000207	拓印大自然	館內架上		一般圖書			C1		"本館藏書	"				91-04-24
00000208	000208	台灣1億5000萬年之謎	館內架上		一般圖書			V1c1		"本館藏書	"				91-04-25
00000209	000209	台灣鳥樂園	報廢		一般圖書			v2c1		"本館藏書	"				91-04-25
00000210	000211	台灣鳥樂園	館內架上		一般圖書			v2c2		"本館藏書	"				91-04-25
00000211	000212	台灣1億5000萬年之謎	報廢		一般圖書			V1c2		"本館藏書	"				91-04-25
00000212	000213	台灣天氣變變變	館內架上		一般圖書			v3		"本館藏書	"				91-04-25
00000213	000214	台灣海龍宮	館內架上		一般圖書			v4		"本館藏書	"				91-04-25
00000214	000215	台灣森林共和國	館內架上		一般圖書			v5		"本館藏書	"				91-04-25
